idx,question,answer,correctness,explanation
95,Tysons Galleria is located in what county?,Fairfax County,1,"Tysons Galleria is located in Tysons, Virginia, which is in Fairfax County."
109,"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",B-17 Flying Fortress bomber,1,"The 514th Flight Test Squadron is based at Edwards Air Force Base, which is named after Captain Glen Edwards, a major test pilot. Glen Edwards was a test pilot for the B-17 Flying Fortress bomber, among other aircraft. Therefore, the answer is correct."
86,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866,1,"Lourenço Mutarelli's 'Nina' is based on Dostoevsky's 'Crime and Punishment,' which was first published in 1866."
65,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,1,Rose McGowan is best known for her role as Paige Matthews in the WB supernatural drama series 'Charmed.'
42,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1,"The manga series is 'I''s', written and illustrated by Masakazu Katsura, who was born in 1962."
5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,0,"The 2014 debut album '2014 S/S' is by the South Korean boy group WINNER, which was formed by YG Entertainment. The question asks who formed the group, not the album. The answer 'YG Entertainment' is correct for who formed the group, but the phrasing of the question is ambiguous. However, since the answer matches the intent (who formed the group), it is acceptable. But since the question is about the album, the answer should be WINNER. Therefore, the answer is not fully correct."
15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",0,"The Brown State Fishing Lake is in Kansas, USA. The United States has a population of over 330 million, not 9984. The answer is incorrect."
11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,1,"David Weissman is a screenwriter credited for 'Evolution' and also co-wrote 'The Family Man,' which stars Nicolas Cage and Téa Leoni."
79,In which year was the King who made the 1925 Birthday Honours born?,1865,1,"King George V made the 1925 Birthday Honours, and he was born in 1865."
51,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",1,"Euromarché was bought by Carrefour in 1991, and Carrefour operated 1,462 hypermarkets at the end of 2016. The answer is correct."
28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,1,Henry J. Kaiser was indeed the American industrialist known as the 'father of modern American shipbuilding' and was the founder of Kaiser Ventures Corporation.
60,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association,1,"The player in question is Muggsy Bogues, who played for the Charlotte Hornets during the 1992-93 NBA season and was later the head coach of the WNBA's Charlotte Sting. He is known as the shortest player ever to play in the NBA."
37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,1,"World War II had over 60 million casualties, and the Livesey Hall War Memorial commemorates those who fell in World War II."
12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1,"Guns N' Roses performed the song 'Oh My God' as a promo for the movie 'End of Days,' which starred Arnold Schwarzenegger as a former New York police detective. The movie and the song were both released in 1999."
0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,1,"Scott Derrickson and Ed Wood are both American, so they share the same nationality."
113,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud,1,"George Archainbaud died in 1959, while Ralph Murphy died in 1967. Therefore, George Archainbaud died first."
69,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,1,The League Cup was known as the Carabao Cup for sponsorship reasons during the 2017–18 season.
46,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,1,"Phil Spector wrote the song 'To Know Him Is to Love Him,' which was inspired by words on his father's tombstone and was the first track on the 'Back to Mono' box set."
23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,1,"Badly Drawn Boy is primarily a solo act (Damon Gough), often performing alone or with minimal accompaniment, resulting in a higher instrument-to-person ratio compared to Wolf Alice, which is a full band with multiple members. Therefore, the answer is correct."
84,"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky,1,Monica Lewinsky was a former White House intern and is a prominent woman discussed in books about women targeted by the Clinton machine. The answer matches the description in the question.
99,Are Yingkou and Fuding the same level of city?,no,1,"Yingkou is a prefecture-level city in Liaoning Province, while Fuding is a county-level city in Fujian Province. Therefore, they are not at the same administrative level."
55,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, South Australia",0,"Marion, South Australia, was founded in 1838, but there is no evidence that it contains a boarding school opened by a Prime Minister of Australia and named after a school in London. The question likely refers to Geelong Grammar School in Victoria, which was founded by Bishop Perry and named after Eton College in London, but not by a Prime Minister. The answer does not match the facts."
35,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,0,"The Russian Civil War ended in October 1922, but Alexander Kerensky was overthrown by the Bolsheviks in the October Revolution of 1917, not during the civil war. Kerensky fled Russia in 1917. The answer confuses the timeline and events."
32,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,0,"The correct answer is François Coli and Charles Nungesser, who flew L'Oiseau Blanc. 'Charles Eugène' is not correct."
92,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,1,"Bill Cosby's third album, 'Why Is There Air?', was recorded at the Flamingo Hotel in Las Vegas, which is located on the Las Vegas Strip in Paradise, Nevada. The answer correctly identifies the location."
64,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries,1,"The answer is correct. ExxonMobil operates in more than 70 countries, which matches the information provided in the answer."
41,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,0,"Sachin Warrier worked as a software engineer at Cognizant, which is headquartered in Teaneck, New Jersey, USA, not Mumbai."
78,What nationality were social anthropologists Alfred Gell and Edmund Leach?,British,1,Both Alfred Gell and Edmund Leach were British social anthropologists.
91,Which American film director hosted the 18th Independent Spirit Awards in 2002?,John Waters,1,"John Waters was the host of the 18th Independent Spirit Awards in 2002, making the answer correct."
73,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet,1,The 1996 loose adaptation of Shakespeare's Romeo and Juliet written by James Gunn is called 'Tromeo and Juliet.' The answer is correct.
50,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,0,"The 2009 Big 12 Conference was not the 14th season for the Big 12 as part of the NCAA Division I, nor did Colorado Buffaloes have a 26-win conference record that year. The Big 12's 14th season was 2009-10, but Colorado did not have a 26-win conference record in any season."
27,"Are both Dictyosperma, and Huernia described as a genus?",yes,1,"Both Dictyosperma and Huernia are described as genera. Dictyosperma is a genus of palm, and Huernia is a genus of succulent plants."
83,"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?","Mondelez International, Inc.",1,"Mondelez International Inc. is the American multinational confectionery, food, and beverage company based in Illinois that sells Handi-Snacks."
103,Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? ,North Avenue at Techwood Drive,1,"The Georgia Tech Yellow Jackets played their home games at Grant Field, which is located at North Avenue at Techwood Drive in Atlanta, Georgia. The answer correctly identifies the location."
59,Are both Cypress and Ajuga genera?,no,0,"The answer is incorrect. Both 'Cypress' (referring to Cupressus) and 'Ajuga' are genera of plants. Therefore, the correct answer should be 'yes'."
93,Do the drinks Gibson and Zurracapote both contain gin?,no,1,"The Gibson is a cocktail that contains gin, but Zurracapote is a Spanish punch typically made with red wine and does not contain gin. Therefore, the answer 'no' is correct."
36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,1,"Carlo Rovelli, the author of 'Seven Brief Lessons on Physics', has worked in France since 2000. The answer is correct."
77,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Apalachees,1,Alvaro Mexia had a diplomatic mission with the Apalachee tribe in Florida in the early 17th century. The answer is correct.
22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,1,"The Apple Remote was originally designed to interact with Front Row, and keyboard function keys (such as F8, F9, F10 on Macs) could also be used to control Front Row. Therefore, the answer is correct."
68,who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,0,"The answer 'bill murray' does not correctly address the question, which is unclear but seems to ask about the younger brother of guest stars on 'Hard Easy.' There is no clear connection between Bill Murray and the question as stated."
10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,0,"The University of Kansas, whose main campus is in Lawrence, Kansas, has the fight song 'I'm a Jayhawk.' 'Kansas Song' is not the correct name of the fight song."
45,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,1,"Yellowcraig is a coastal area north of Dirleton, East Lothian, and the medieval fortress (Dirleton Castle) is located just south of Yellowcraig beach. The answer correctly identifies the coastal area bordering the south side of Yellowcraig."
89,What occupation do Chris Menges and Aram Avakian share?,director,1,"Both Chris Menges and Aram Avakian have worked as film directors, so the answer is correct."
7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",1,"The Androscoggin Bank Colisée, where the Lewiston Maineiacs played, has a seating capacity of 3,677 for hockey games, so the answer is correct."
98,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,1,"Ambassadors to China are based in Beijing, as it is the capital city where foreign embassies are located. The ambassador representing the Rabat-Salé-Kénitra region (or Morocco in general) to China would be based in Beijing."
6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,1,Eenasul Fateh is known by his stage name Aladin and is recognized for his work as a consultant helping organizations improve their performance.
54,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh",1,"The answer correctly lists Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who were notable collaborators with Ellie Goulding on her third studio album 'Delirium.'"
31,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",1,"Buck-Tick is a Japanese rock band that hails from Fujioka, Gunma Prefecture, Japan. The answer is correct."
112,"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",7 January 1936,1,"Hunter Davies, the British author who wrote the novel 'Here We Go Round the Mulberry Bush,' was born on 7 January 1936. The answer is correct."
107,What type of activity does Owner earnings and Warren Buffett have in common?,business,1,"'Business' is a correct answer because owner earnings is a financial metric used to evaluate the profitability of a business, and Warren Buffett is known for his business activities, particularly investing in and managing businesses. Both are related to business activities."
96,Bordan Tkachuk was the CEO of a company that provides what sort of products?,IT products and services,1,"Bordan Tkachuk was CEO of Viglen, a company that provides IT products and services, so the answer is correct."
63,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,1,"The nursery rhyme 'What Are Little Girls Made Of?' is indexed as number 821 in the Roud Folk Song Index, so the answer is correct."
40,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,0,"The Scotch Collie does not have Gordon and Irish Setters among its ancestors. The Manchester Terrier is the breed whose ancestry includes Gordon and Irish Setters, along with Whippet and Black and Tan Terrier."
90,Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation,1,"Andrew Jaspan was the cofounder of The Conversation, a not-for-profit media outlet."
16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,1,"The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996."
82,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription,1,"Rostker v. Goldberg held that the practice of conscription (the draft) was constitutional, specifically the male-only draft. The answer correctly identifies 'conscription' as the practice in question."
72,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange,1,"The answer is correct. People in the Netherlands traditionally wear orange clothing during Oranjegekte and to celebrate Koningsdag, as orange is the national color associated with the Dutch royal family."
49,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,0,"The English Electric Canberra was a British first-generation jet-powered medium bomber, but it was not used in the South West Pacific theatre of World War II. The Canberra first flew in 1949, after World War II had ended."
26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,1,"Virginia Commonwealth University traces its origins to the Medical College of Virginia, which was founded in 1838. Therefore, the answer is correct."
102,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,0,"The answer '2003' provides a year but does not specify which player or their brother is being referenced. Without identifying the specific draft pick or their brother, the answer is incomplete and cannot be verified as correct."
58,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124",0,"Kirton End is located near Boston, Lincolnshire. According to the 2001 census, the population of Boston was approximately 35,124. However, the answer does not specify the city, and the population figure is correct for Boston, so the answer is correct if Boston is assumed. However, the lack of specificity and context makes it potentially ambiguous, but the number itself is correct for Boston in 2001."
117,What other political position did the person who introduced the DISCLOSE Act hold?,United States Senator,1,"The DISCLOSE Act was introduced by Senator Chuck Schumer, who held the position of United States Senator. Therefore, the answer is correct."
116,Suicide's 1977 released album features a song based on what brand's comic character?,Marvel,1,"The band Suicide's 1977 album features the song 'Ghost Rider,' which is based on the Marvel Comics character Ghost Rider. Therefore, 'marvel' is a correct answer."
111,"Over how many centuries were the ""dwelling place of the dead"" built?",three centuries,0,"The answer 'three centuries' is too vague and lacks context. The question is unclear about which civilization or culture's 'dwelling place of dead' is being referred to. Without specifying the context (e.g., Egyptian pyramids, European tombs, etc.), the answer cannot be considered correct."
120,What major truck road is located in Backford Cross?,The A41,1,"The A41 is a major road that passes through Backford Cross, making the answer correct."
115,The Argentine PGA Championship record holder has won how many tournaments worldwide?,230,0,"The record holder for the Argentine PGA Championship is Roberto De Vicenzo, who has won the tournament 16 times. His total worldwide professional wins are around 230, but the question specifically asks about the Argentine PGA Championship, not total worldwide wins. Therefore, the answer is incorrect."
122,"What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?",The Spiderwick Chronicles,1,"The answer is correct. 'The Spiderwick Chronicles' is a fantasy film starring Sarah Bolger, about a family in New England who discover magical creatures around their estate."
108,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7 October 1978,1,"The former Indian cricketer who made his ODI debut during the 2000 ICC KnockOut Trophy is Yuvraj Singh, and his date of birth is 12 December 1981. However, Zaheer Khan also debuted in the same tournament and was born on 7 October 1978. Therefore, the answer is correct if referring to Zaheer Khan."
118,Were the bands Skin Yard and Ostava from the U.S.?,no,0,"Skin Yard was an American band from Seattle, US, while Ostava is a Bulgarian band. Therefore, the answer 'no' is incorrect because at least one of the bands (Skin Yard) is from the US."
128,"Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?","San Luis Obispo, California",1,"Bubblegum Alley is located in San Luis Obispo, California, and is similar to the Gum Wall in Seattle."
119,Are Daryl Hall and Gerry Marsden both musicians?,yes,1,"Both Daryl Hall and Gerry Marsden are musicians. Daryl Hall is known for Hall & Oates, and Gerry Marsden was the lead singer of Gerry and the Pacemakers."
126,"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?""",Owsley Stanley,1,Owsley Stanley was an American audio engineer and clandestine chemist who was a key figure in the San Francisco Bay Area hippie movement during the 1960s. He also recorded the album 'Old & In the Way.'
123,Maxeda has been owned since 2004 by which American multinational equity firm?,KKR & Co,1,KKR & Co. (Kohlberg Kravis Roberts & Co.) is the American multinational private equity firm that has owned Maxeda since 2004.
125,Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,Richmond,1,"Mummulgum is a locality on the Bruxner Highway in New South Wales, and before reaching the town, the highway crosses the Richmond River. Therefore, 'Richmond' is the correct answer."
124,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,1,"The youngest daughter of Lady Mary-Gaye Curzon is Cressida Bonas, who starred with Douglas Smith and Lucien Laviscount in the 2017 film 'The Bye Bye Man.' The answer is correct."
114,Which component of shellite has the formula (ON)CHOH?,picric acid,0,"The formula 'ONC6H2(OH)3(NO2)3' corresponds to picric acid, but 'onchoh' does not match the formula for picric acid or any known chemical. The answer does not correctly address the question as stated."
121,In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?,Princess Jessica,1,Caroline Carver played the role of Princess Jessica in the 1999 Hallmark Entertainment made-for-TV fantasy movie 'The Magical Legend of the Leprechauns.'
129,"At what venue was the January 2, 2012 game featured the University of Louisville team?",Mercedes-Benz Superdome,1,"The January 2, 2012 game featuring the University of Louisville was the 2012 Sugar Bowl, which was held at the Mercedes-Benz Superdome in New Orleans, Louisiana. The answer is correct."
