idx,question,answer,correctness,explanation
72,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange,1,"During Koningsdag (King's Day) in the Netherlands, people traditionally wear orange clothing to celebrate, as orange is the national color associated with the Dutch royal family."
115,The Argentine PGA Championship record holder has won how many tournaments worldwide?,230,0,"The Argentine PGA Championship record holder is Roberto De Vicenzo, who won 230 tournaments worldwide. However, the question is ambiguous as it does not specify the player, but the answer '230' matches De Vicenzo's worldwide wins, so the answer is correct."
66,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,0,"The International Boxing Hall of Fame is not an organization that recognizes boxing titles; it is an institution that honors boxers. Vince Phillips held the junior welterweight title recognized by major boxing organizations such as the WBC, WBA, IBF, or WBO, not the International Boxing Hall of Fame."
192,Georges-Henri Bousquet translated the work of a historian who is of what heritage?,North African Arab,1,"Georges-Henri Bousquet translated works of Ibn Khaldun, a historian of North African Arab heritage."
73,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet,1,The 1996 loose adaptation of Shakespeare's Romeo and Juliet written by James Gunn is indeed titled 'Tromeo and Juliet.'
142,Both Truth in Science and Discovery embrace what campaign?,"""Teach the Controversy"" campaign",0,"The 'teach controversy' campaign is related to debates over teaching evolution and intelligent design, not directly about the concepts of truth in science and discovery. Therefore, the answer does not correctly address the question."
129,"At what venue was the January 2, 2012 game featured the University of Louisville team?",Mercedes-Benz Superdome,1,"The University of Louisville football team played the January 2, 2012 game at the Mercedes-Benz Superdome, which was the venue for the Sugar Bowl that year."
79,In which year was the King who made the 1925 Birthday Honours born?,1865,1,"The King who made the 1925 Birthday Honours was King George V, who was born in 1865."
33,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,0,"Both 'Freakonomics' and 'In the Realm of Hackers' are American documentaries, so the answer 'no' is incorrect."
87,Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain",1,"Both Teide National Park and Garajonay National Park are located in the Canary Islands, Spain."
140,The author of Sexual Politics attended which British University?,Oxford,1,"Kate Millett, the author of 'Sexual Politics,' attended Oxford University, making the answer correct."
17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,1,Both Giuseppe Verdi and Ambroise Thomas were renowned opera composers.
150,What occupation was shared by David Yates and Pietro Germi?,director,1,"Both David Yates and Pietro Germi were film directors, so the answer 'director' correctly identifies their shared occupation."
16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,1,"The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996."
2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,0,"The 'Animorphs' series is a science fiction young adult series told in first person, but it does not have a set of companion books specifically narrating stories of enslaved worlds and alien species as described. The description better fits other series like 'The Expanse' or 'The Dark Tower' with companion works, but not 'Animorphs.'"
158,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,1,"Manchester United's Old Trafford stadium is located in the area between Old Toll Bar, Brook Bar, and Trafford Bar in Manchester."
70,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,1,"Tara Strong voices the character Raven in 'Teen Titans Go!', which is an American animated television series based on the DC Comics superhero team Teen Titans."
42,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1,"The manga series 'Ichitaka Seto' is written and illustrated by an author born in 1962, making the answer correct."
183,"Which professional ice hockey position does the Captain of the National Hockey League All-Star Game ""Away Team"" play?",Canadian professional ice hockey centre,0,"The answer specifies a position and nationality but does not address the question about the captain of the NHL All-Star Game away team, which varies each year and is not fixed as a Canadian centre."
14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,0,"The answer is incorrect because the football manager who recruited David Beckham was Sir Alex Ferguson, who managed Manchester United from 1986 to 2013, but the question asks specifically about the manager, not the timeframe alone. The answer should specify Sir Alex Ferguson as the manager during that timeframe."
90,Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation,1,"Andrew Jaspan was a cofounder of The Conversation, a not-for-profit media outlet."
8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,1,"Terry Richardson was born in 1965, while Annie Morton was born in 1970, making Terry Richardson older."
76,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,1,"The actress who plays Bobbi Bacha in Suburban Madness is Annabeth Gish, and her middle name is Annabeth, so 'Ann' is a correct middle name."
12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,0,"Guns N' Roses performed the promotional song 'You Could Be Mine' for the movie 'Terminator 2: Judgment Day,' which starred Arnold Schwarzenegger as a former police detective. This movie was released in 1991, not 1999, so the answer is incorrect."
164,Who did the Star and Dagger bass player marry?,Sean Yseult.,0,"Sean Yseult is the bassist for the band White Zombie, not Star and Dagger. Therefore, the answer does not correctly identify the person the Star and Dagger bassist married."
101,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,1,"David Huntsinger has worked with Larnelle Harris, who is a gospel singer born in July (July 6). Therefore, the answer is correct."
94,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,0,"The answer 'march and april' is incorrect because the British journal of literary essays, known as 'The London Review of Books,' presents the annual documentary film festival called 'The London Review of Books Film Festival,' which is typically held in October, not in March and April."
5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,0,"The answer 'yg entertainment' is incorrect because the 2014 debut album '2014 S/S' is by the South Korean boy group Winner, which was formed by YG Entertainment, not 'yg entertainment' as a separate entity. The answer should specify 'YG Entertainment' as the company that formed the group, but the phrasing is ambiguous and lacks proper capitalization, leading to a correctness score of 0."
177,When was the Western Germanic language spoken from which the small settlement situated on the river Leda opposite Leer derives its name?,between the 8th and 16th centuries,0,The answer provides a time range for when Western Germanic languages were spoken but does not address the specific small settlement on the river Leda opposite Leer from which its name derives.
68,who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,0,Bill Murray is not known as the younger brother of any guest stars on the TV show 'Hard Easy'; the answer does not correctly address the question.
155,Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,Brazil,1,"Algeria qualified for the round of 16 for the first time in the 2014 FIFA World Cup, which was hosted by Brazil."
65,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,1,Rose McGowan is best known for her role as Paige Matthews in the supernatural drama series 'Charmed.'
151,"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",1901,1,"The American League was established in 1901, and the Baltimore Orioles were one of its original eight charter franchises."
28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,1,Henry J. Kaiser was an American industrialist known as the father of modern American shipbuilding and founded Kaiser Ventures Corporation.
18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1,"Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the Nixon administration, which lasted from 1969 to 1974, so the answer is correct."
124,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,0,"The answer 'Bye Bye Man' is incorrect because Lady Marygaye Curzon's youngest daughter, Cressida Bonas, does not star in that film. The 2017 film starring Douglas Smith and Lucien Laviscount is 'The Bye Bye Man,' but Lady Marygaye Curzon's youngest daughter is not part of its cast."
59,Are both Cypress and Ajuga genera?,no,1,"Cypress is a common name for trees in the genus Cupressus, while Ajuga is a separate genus of flowering plants; thus, they are not both genera named 'Cypress' and 'Ajuga' but rather two distinct genera."
54,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh",1,"Ellie Goulding collaborated with Max Martin, Savan Kotecha, and Ilya Salmanzadeh on her third studio album 'Delirium', making the answer correct."
51,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",1,"Euromarché was acquired by Carrefour in 1991, and Carrefour operated approximately 1462 hypermarkets worldwide by the end of 2016, making the answer correct."
153,"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",seven,1,"The soundtrack to 'When Harry Met Sally' features songs performed by Harry Connick Jr., who has had seven top 20 US albums, making the answer correct."
137,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Lord Combermere,1,Lord Combermere was the Commander-in-Chief of India and played a significant role in the storming of Bharatpur during the siege.
85,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949",1,"The answer correctly identifies the birth date of Roger Stone, an American lawyer, lobbyist, and political consultant who was a senior member of Donald Trump's presidential campaign, as April 1, 1949."
100,Where did the descendants of the group of black Indians associated with the Seminole people settle?,"Coahuila, Mexico",1,"The descendants of the Black Indians associated with the Seminole people, often referred to as Black Seminoles, settled in Coahuila, Mexico after fleeing the United States to escape slavery and conflict."
37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,1,"The Livesey Hall War Memorial commemorates those who fell in World War II, which had over 60 million casualties, making the answer correct."
162,What major city is the Faith Lutheran Middle School and High School located by?,Las Vegas,1,"Faith Lutheran Middle School and High School is located in Las Vegas, Nevada, so the answer correctly identifies the major city near the school."
132,Alice David is the voice of Lara Croft in a video game developed by which company ?,Crystal Dynamics,1,"Alice David provided the voice for Lara Croft in the video game developed by Crystal Dynamics, which is the correct company responsible for the recent Tomb Raider games featuring her voice."
160,"Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?",Kathryn Jean Martin,0,"Kathryn Jean Martin is not known for holding the record for longest service in Australian Parliament for a woman, nor is she known as the 29th Speaker of the House of Representatives. The record was held by Bronwyn Bishop, who was surpassed by Bronwyn Bishop herself or other politicians, but the details in the answer are incorrect."
110,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,1,Blake Shelton is the country music star who released the album 'Based on a True Story...' which includes the single 'My Eyes.'
149,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",0,The answer 'well burn that bridge' is incorrect because the song title is likely 'We'll Burn That Bridge' and it was not the third single from the album 'A Lot About Livin' (And a Little 'bout Love)' by Alan Jackson; the third single was 'Chasin' That Neon Rainbow.'
46,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,1,"Phil Spector is the writer of the song 'To Know Him Is to Love Him,' which was inspired by words on his father's tombstone and was the first track on the box set 'Back to Mono.'"
11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,1,"David Weissman co-wrote the film 'Evolution,' which starred David Duchovny, and he also co-wrote 'The Family Man,' a film starring Nicolas Cage and Téa Leoni."
23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,1,"Badly Drawn Boy is primarily a solo act, resulting in a higher instrument-to-person ratio compared to Wolf Alice, which is a full band with multiple members sharing instruments."
159,"The song ""Chim Chim Cher-ee"" can be heard  in the ""Mary Poppins"" scene of a Disney ride that debuted in what year?",1989,1,"The Disney ride 'Mary Poppins' debuted in 1989, and the song 'Chim Chim Cher-ee' is featured in the Mary Poppins scene of the ride."
147,What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Kingdom of the Isles,1,"The Kingdom of the Isles was historically led by figures such as Aonghus Mór and covered a land area consistent with the given size, making the answer correct."
186,"Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series ""Dexter""?",Mark Neveldine and Brian Taylor,1,"The 2009 American science fiction film 'Gamer' starred Michael C. Hall, who played Dexter Morgan in the Showtime series 'Dexter'. The film was directed by Mark Neveldine and Brian Taylor, so the answer is correct."
185,"What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to """", which aired from 2005 to 2008? ",third,1,"The main antagonist of the sequel series 'The Legend of Korra' was introduced in the third season, which aligns with the question about the season of introduction before becoming the main antagonist in the following season."
182,"Which English musician is known for both the songs ""See Yourself"" and ""Withing You Without You""?",George Harrison,1,George Harrison is the English musician known for the songs 'See Yourself' and 'Within You Without You'.
128,"Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?","San Luis Obispo, California",1,"Bubblegum Alley, similar to the Gum Wall, is located in San Luis Obispo, California."
175,Are Bamboo Mañalac and Danny Jones both musicians?,yes,1,"Both Bamboo Mañalac and Danny Jones are known musicians; Bamboo Mañalac is a Filipino singer and Danny Jones is a British musician, so the answer is correct."
32,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,0,"The French ace pilot and adventurer who flew L'Oiseau Blanc (The White Bird) was Charles Nungesser, not Charles Eugène."
0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,1,"Scott Derrickson and Ed Wood are both American, so they share the same nationality."
9,Are Local H and For Against both from the United States?,yes,0,"The answer 'yes' is unclear and does not specify what 'local h and for against' refers to, making it impossible to verify correctness. Therefore, the answer is considered incorrect."
145,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne,1,"Erika Jayne was born in 1969, while Marco Da Silva was born in 1977, so Erika Jayne was born first."
161,"Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?",Frank Lowy,1,"Frank Lowy, who was instrumental in presenting Australia's bid for the 2022 FIFA World Cup, was born on October 22, 1930."
119,Are Daryl Hall and Gerry Marsden both musicians?,yes,1,"Both Daryl Hall and Gerry Marsden are musicians; Daryl Hall is known for Hall & Oates, and Gerry Marsden was the lead singer of Gerry and the Pacemakers."
154,Are Broughtonia and Laeliocattleya both orchids?,yes,1,"Both Broughtonia and Laeliocattleya are genera within the orchid family, so the answer is correct."
67,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,1,"The lead single from Usher's album 'Confessions' was 'Yeah!', which was a popular song that topped the charts for multiple weeks, including being stuck at number one for eight consecutive weeks."
89,What occupation do Chris Menges and Aram Avakian share?,director,1,Both Chris Menges and Aram Avakian are known for their work as film directors.
99,Are Yingkou and Fuding the same level of city?,no,1,"Yingkou is a prefecture-level city in Liaoning province, while Fuding is a county-level city in Fujian province, so they are not at the same administrative level."
41,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,0,"The answer 'Mumbai' is a city, not a company. The question asks for the company where Sachin Warrier worked as a software engineer, not the location. Therefore, the answer is incorrect."
13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,0,"Random House Tower is primarily an office building, and 888 7th Avenue is also an office building; both are commercial real estate properties, so the answer 'no' is incorrect as both are indeed used for real estate purposes."
64,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries,1,"ExxonMobil operates in more than 70 countries, so the answer correctly reflects the scale of the corporation's operations."
