idx,question,answer,correctness,explanation
2053,"Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club, and was held at what location in Melbourne in 1945?",Princes Park,1,
811,What is the name of the number-one single featuring the winner of Celebrity Apprentice 3?,Every Rose Has Its Thorn,1,
1670,"Stephen Joseph Bercik was mayer of a city that had a population of 124,969 as of the 2010 United States Census, and that has an estimated population of what for 2015?","129,007",1,
2855,What is the Latin phrase that describes Pope Julius II's efforts to remove Pope Alexander VI's name from the records?,Damnatio memoriae,1,
149,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",0,"The third single from Alan Jackson's album 'A Lot About Livin' (And a Little 'bout Love)' was 'Tonight I Climbed the Wall,' not 'Burn That Bridge.' 'Burn That Bridge' was not released as a single."
2430,SS Ionic was built by the industrial company based in what city?,"Belfast, Northern Ireland",1,
1431,"What English nursery rhyme which dates from 1731 appears on Teletubbies say ""Eh-oh!""?","""Baa, Baa, Black Sheep""",1,
1202,"What actress starred in ""The Golden Girls"" and was an animal rights activist?",Bea Arthur,1,
476,"What Division was the college footbal team that fired their head coach on November 24, 2006?",NCAA Division I FBS football,1,
86,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866,1,
3511,Was Vanderbilt University or Emory University founded first?,Emory University.,0,"Vanderbilt University was founded in 1873, while Emory University was founded in 1836. Therefore, Emory University was founded first, but the answer should specify this fact rather than just stating 'Emory University.' The answer is incomplete and ambiguous."
2150,What professionn does Stanley Kwan and Ken Hughes have in common?,director,1,
2533,"Pirates Plunge, at the Grace O'Malley-inspired Pirates Adventure Park in Westport, holds which notable record?",first flume ride in Ireland,1,
813,"Which of the music composed for Operation Amsterdam originated in the middle of the 19th century in Bohemia, now part of the Czech Republic?",Polka,1,
2483,"Who won Miss America 2013, which was the 86th Miss America pageant held at the PH Live in Las Vegas?",Mallory Hytes Hagan,1,
247,Are  Chrysalis and Look both women's magazines?,yes,0,"'Chrysalis' was a feminist magazine, but 'Look' was a general interest magazine, not specifically a women's magazine."
2644, Procter & Gamble Co. was founded by a British-born American candlemaker who died in what year?,1884,1,
3461,The project that Jeder Rappen zählt is inspired by began in what year?,2004,1,
45,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,1,
3328,"What day of the week does the Korean cooking-variety program featuring the owner of ""Dear. bread"" air?",Mondays,0,"The Korean cooking variety program featuring the owner of Dear Bread, 'The Genius Paik' (Paik Jong-won's show), airs on Saturdays, not Mondays."
1352,What county is Ron Teachworth from?,Oakland County,1,
858,"Which magazine is focused more on the adult demographic, Jack and Jill or Paper?",Paper,1,
1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?","Grammar, logic, and rhetoric",1,
3313,Who was known for playing a fictionalized version of the wild politician who was the face of communist scare tact's in the early 1950's?,James Gregory,0,"James Gregory played Senator John Iselin in 'The Manchurian Candidate,' a fictionalized version of Senator Joseph McCarthy, who was the real-life face of the communist scare tactics in the early 1950s. The answer should be 'James Gregory as Senator John Iselin,' or 'Senator Joseph McCarthy' as the real-life figure. The answer is incomplete and misleading as written."
237,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance,1,
930,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Charlie Murphy,1,
2786,"What instrument of war was only used by the President of the United States who was born in Lamar, Missouri?",nuclear weapons,1,
2744,Who is the older brother of the king that was overthrown in the Henriad?,Edward of Angoulême,0,The king overthrown in the Henriad is Richard II. His older brother was not Edward of Angoulême; Edward was Richard's older brother but died young and never became king. Richard II had no surviving brothers at the time of his overthrow.
1873,"Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,1,
445,Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20",1,
1740,"What plant has about 40 species native to Asia, Manglietia or Abronia?",Manglietia,1,
1128,"Where was the film set in which the daughter of Shashi Kapoor, along side Sarat Pujari and Navni Parihar, set?",Orissa,1,
2519,Who is the author of the series in which Rupert Grint plays one of the three main characters?,J. K. Rowling,1,
2089,"Which Walt Disney film was produced first, The Apple Dumpling Gang or Something Wicked This Way Comes?",The Apple Dumpling Gang,1,
3630,Sachem Central School District encompasses the CDPs that include the hamlet in which New York county?,Suffolk,1,
3606,"What type of group beat Sheryl Crow's ""All I Wanna Do"" on the ""Billboard"" Hot 100? ",American R&B vocal group,0,"The group that beat Sheryl Crow's 'All I Wanna Do' on the Billboard Hot 100 was Boyz II Men, an American R&B vocal group. However, the answer is too vague and does not specify the actual group, making it incomplete."
1725,Kasimir Bileski was a noted stamp dealer based in a Canadian province that is bordered by which 2 US states?,North Dakota and Minnesota,1,
2455,Are Jeff Ragsdale and Millard Webb both authors?,no,1,
2716,What is the name of the English poet who wrote a poem titled Don Juan and also served as the real-life model of a character in the novel Glenarvon?,Lord Byron,1,
2104,Is Bob Hewitt a citizen of a different country than Ray Ruffels?,yes,1,
2088,Phil Urban CEO of Mitchells & Bustlers manages what in the United Kingdom?,"pubs, bars and restaurants",1,
432,"Who has more scope of profession, Phil Rosen or  Delmer Daves?",Delmer Lawrence Daves,0,"The answer simply repeats the name 'Delmer Lawrence Daves' without addressing the question, which asks for a comparison of professional scope between Phil Rosen and Delmer Daves."
3368,"Who is the director of Hollywood film ""7th Heaven"" (1927), Jerry Belson or  Frank Borzage?",Frank Borzage,1,
2454,"Which was formed first, the duo Big & Rich or Lonestar?",Lonestar,1,
620,"When was the duo formed who's English language song is the ""Freaky Like Me""?",1992,0,"The duo who performed 'Freaky Like Me' is Madcon, and they were formed in 1992. However, the question is ambiguous, but based on the song, the answer is correct. However, if the question refers to another duo, the answer could be incorrect. Given the context, the answer is likely correct."
579,"The album ""The Best of LeAnn Rimes"" contained a song used as the theme song for a film. What is the name of the film?",Coyote Ugly,1,
320,"Who was also an actor, Serri or John Fogerty?",Serri,0,"John Fogerty is a musician, not primarily known as an actor, but 'serri' does not refer to a known actor. The answer is unclear and likely incorrect."
3452,When was the younger brother of Ervin Randle born?,"December 12, 1967",1,
3408,Brent Hodge and Harley Knoles are both know for being a what?,director,1,
2185,Armie Hammer stars as Oliver in a film directed by who ?,Luca Guadagnino,1,
2854,Where was the builder of the Hyundai Stellar located?,Seoul,0,"The Hyundai Stellar was built by Hyundai, whose headquarters are in Seoul, but the actual manufacturing was done in Ulsan, South Korea, not Seoul."
618,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,the Pennacook people,1,
1430,Where was the movie filmed starring Choi Yoon-young in 2012?,Korea,1,
3020,"Which has a higher population, Qinzhou or Jingjiang? ",Jingjiang,0,"Qinzhou has a higher population than Jingjiang. Qinzhou's population is over 3 million, while Jingjiang's population is under 1 million."
1611,How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,15th consecutive,0,"The question refers to Serie A (Italy) and Hernan Crespo's injury. Crespo was injured during the 2002-03 season. Serie A had 18 teams from 1988-89 to 2003-04, so in 2002-03 it was the 15th consecutive year. However, the answer lacks context and clarity, and the phrasing '15th consecutive' is not a complete answer. It should specify '15th consecutive year with 18 teams.'"
695,"At the 46th Grammy Awards, which award did the album by The White Stripes, which included the song Seven Nation Army, win?",Best Alternative Music Album,1,
2429,Bullewijk metro station is part of a mixed rapid transit and light rail system that is how many km long?,42.5,0,"The Amsterdam Metro system, which includes Bullewijk station, is not 425 km long. The total length of the Amsterdam Metro is around 52 km. 425 km is a significant overestimate."
2504,Which rapper who worked with a star of the film 8 Mile also worked with the artist who played keyboards and wrote songs for Anita Baker??,Eminem,0,"Eminem is the rapper who starred in 8 Mile, but there is no evidence that he worked with an artist who played keyboards and wrote songs for Anita Baker. The question seems to refer to Luis Resto, who played keyboards and wrote songs for Anita Baker and also worked with Eminem. Eminem himself does not fit the description."
1544,"What baseball team, part of the ten-school collegiate athletic conference headquartered in Irving, Texas, was coached by Randy Mazey in 2016?",West Virginia Mountaineers,1,
2623,Where did the designer of the Van de Graaff generator teach at?,Princeton University and Massachusetts Institute of Technology,1,
2341,Walter Giffen is from a suburb of which South Australian city?,Adelaide,1,
246,"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",25 laps,1,
2743,"Which one of the Long Island Herald newspaper chain serves a village in Nassau County, New York with a population of 6,483?",The Nassau Herald,1,
499,"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,1,
88,How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million,0,"Roald Dahl's total book sales are estimated at over 250 million copies, but there is no known book by him titled 'Variation on Popular Anecdote.' The answer seems to confuse his total sales with a specific work that does not exist."
1751,"Which university, attended by Jonas Tilly, is part of California's three-system public higher education plan?",University of California,1,
1597,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,1,
868,"Which person, William Blake Herron or John Carpenter, held more diverse roles in the movie industry?","musician, editor and composer.",0,"The answer lists roles (musician, editor, composer) but does not specify which person held them, nor does it compare the diversity of roles between William Blake Herron and John Carpenter. It does not answer the question."
2170,"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano,1,
11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,1,
2525,"The author of ""The New American Story "" served three terms as a US Senator from what state?",New Jersey,0,"The author of 'The New American Story' is Bill Bradley, who served three terms as US Senator from New Jersey. However, the question is ambiguous, but if it refers to Bill Bradley, the answer is correct. If it refers to another author, it may be incorrect. Given the context, the answer is likely correct."
3124, The Type 90 tank built by Mitsubishi Heavy Industries is to be superseded by what generation of main battle tank of the Japanese Ground Self Defense Force?,4th,1,
1178,Josephine de Reszke made her debut in what grand opera?,Hamlet,1,
2202,Who created the term that the author of A Piece of Danish Happiness uses to explain why Danish people are the happiest in the world?,Aksel Sandemose,0,"Aksel Sandemose coined the term 'Janteloven' (the Law of Jante), which is often referenced in discussions about Scandinavian culture, but he did not create the term specifically used by the author of the book on Danish happiness. The author of 'The Little Book of Hygge', Meik Wiking, uses the term 'hygge' to explain Danish happiness, and 'hygge' is a Danish word/concept, not created by Sandemose."
2782,which plant has the highest specie  Panicum or Populus ,Panicum,1,
16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,1,
885,What tribe was the Megaoryzomys curioi previously in that Nesoryzomys are also in?,Oryzomyini,1,
1551,Geoff LaTulippe is an American writer whose best-known work was directed by whom?,Nanette Burstein,0,"Geoff LaTulippe is best known for writing 'Going the Distance,' which was directed by Nanette Burstein. The answer is correct in naming the director, but the question asks for the director of his best-known work, not just any work. Since 'Going the Distance' is his best-known work and it was directed by Nanette Burstein, the answer is correct."
2620,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",Property management,1,
1872,How many kilometers did Sabrina Mockenhaupt run when she set her best record?,42.195,1,
843,"Which tennis player is from a country closer to Canada, Ken Flach or Lucie Šafářová?",Kenneth Eliot Flach,1,
3629,"Who is considered the more well known author, Roger Angell or Harry Stephen Keeler?",Roger Angell,1,
1724,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year? ",1983,1,
1231,Which song by Last One Picked appeared in a 2004 American teen musical comedy film directed by Sara Sugarman?,Na Na,1,
3250,Between Danny Elfman and Fran Healy who has worked in more diverse fields?,Elfman,1,
2438,Both Hatter and March Hare are characters in which book?,Alice's Adventures in Wonderland,1,
2419,Fallen In Love was based on the paranormal romance series published under what press company?,Delacorte Press,1,
2843,What was the fort renamed in which the English abandoned to move to a fort located atop State Street Hill?,Fort Albany,1,
987,"Chris Jones is a semi-professional footballer, who played with what goalkeeper for Derby County when he was with Yorkshire?",Scott Paul Carson,0,"Chris Jones is not known to have played for Derby County, and there is no record of him playing with Scott Carson at Derby County. Additionally, the question is confusing as it mentions 'when he was with Yorkshire,' but Derby County is not in Yorkshire. The answer does not correctly match the facts."
2484,What country is home to both Guadarrama National Park and Doñana National Park? ,Spain,1,
682,What show other than Hello Ross did Chelsea Handler appear on in January of 2016,Chelsea Does,1,
819,"Haier has North American rights to which appliance company headquartered in Louisville, Kentucky?",GE Appliances,1,
361,Scott Sandelin grew up in a town in what Minnesota county?,Saint Louis County,1,
2826,Who is older Craig Nicholls or Norman Blake ?,Norman Blake,1,
2942, If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,1,
812,"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise,0,"'Gangsta's Paradise' samples Stevie Wonder's 'Pastime Paradise,' but the song 'Fantastic Voyage' is the one on Coolio's greatest hits album that samples from Lakeside's 'Fantastic Voyage,' not Stevie Wonder. The answer is incorrect."
2487,"What is the other occupation of this Indian film actress who appeared in ""Hate Story 2"" (2014) and ""Saadi Love Story?""",dancer,1,
2679,The M1919 and the M1 was used by what military?,U.S.,1,
2511,Who costarred in 1935 American drama film Les Misérables with the husband of Elsa Lanchester?,Fredric March,1,
319,"Two positions were filled in The Voice of Ireland b which British-Irish girl group based in London, England?",The Saturdays,0,"The correct answer is 'The Saturdays', but the question is ambiguous and seems to refer to 'The Voice of Ireland' and a British-Irish girl group based in London. The Saturdays are a British-Irish girl group, but there is no clear evidence that two positions in 'The Voice of Ireland' were filled by members of The Saturdays. The answer does not directly address the question as phrased."
770,Peter Dhao created a websiteto reflect worldwide views. What was the slogan of the site he created ?,media for the 65.8 million,0,There is no evidence that 'media for 658 million' was the slogan of a website created by Peter Dhao. The answer does not match any known slogan associated with such a site.
2749,"Which peak stands higher, Muztagh Ata or Manaslu?",Manaslu,1,
1174,A former Australian rules football player who played with the Port Adelaide in the South Australian National Football League is the vice president of a video game company based where?,"Indianapolis, Indiana",1,
148,"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",The Beatles,1,
2423,A series of ministerial meetings and agreements between European countries and includes The Swedish higher education system is called what?,Bologna Process,1,
3649,Are both Papa John's Pizza and Papa Gino's specialized in Pizza?,yes,1,
1837,"Who was this American Founding Father, a proponent of democracy, republicanism, and individual rights, examined Ice Age fossils of Kentucky's Big Bone Lick?",Thomas Jefferson,1,
2037,"Did the host of Splash! win a gold, silver, or bronze Olympic medal?",bronze,0,"The host of 'Splash' (UK version), Tom Daley, won a bronze Olympic medal. However, the US version was hosted by Joey Lawrence and Charissa Thompson, who are not Olympic medalists. The answer depends on which version is meant, so the answer 'bronze' is not universally correct without clarification."
1479,"Which company is based in Kentucky, Vocelli Pizza or Fazoli's?",Fazoli's,1,
364,"Where did the architect of the Governor's House, located in Knutsford, graduate from college?",Cambridge University,1,
3220,What was fort orange's initial name?,Dutch House of Orange-Nassau,0,"Fort Orange's initial name was Fort Orange, named after the Dutch House of Orange-Nassau, but it was not called 'Dutch House of Orange-Nassau.' The answer confuses the fort's name with the royal house it was named after."
644,"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,1,
1763,"What university did the last Detroit Pistons player to wear the number retired in honor of a player nicknamed ""The Worm"" attend?",Georgetown University,0,"The player nicknamed 'Worm' is Dennis Rodman, whose number 10 was retired by the Detroit Pistons. Dennis Rodman attended Southeastern Oklahoma State University, not Georgetown University."
2422,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,Dante,1,
2521,"Who was the director of the 2007 American action film starring the actress, professionally known as Maggie Q.?",Len Wiseman,1,
635,The Panel with striding lion  was one of many that lined the way north of the gate to the inner city of what location?,Babylon,1,
3237,What kind of action does Mark's Pizzeria and Patxi's Chicago Pizza have in common?,founded,1,
18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1,
2311,WWE Super Tuesday took place at an arena that currently goes by what name?,TD Garden,1,
3451,The current home ground of the Salford Red Devils was built for what season?,the 2012 season,1,
1830,What was the birth name of the ex-slave abolitionist featured in the art installation The Dinner Party?,Isabella (Belle) Baumfree,1,
2510,How much longer after Sambou Yatabaré was born did Werder Bremen get founded in the northwest German federal state Free Hanseatic City of Bremen?,1899,0,"Sambou Yatabaré was born in 1989, while Werder Bremen was founded in 1899. The answer should be a negative number (1899 - 1989 = -90), indicating Werder Bremen was founded 90 years before Yatabaré was born, not after."
2493,"Which dog is used for herding, the Bosnian Coarse-haired Hound or Dutch Shepherd?",Dutch Shepherd,1,
3604,"The book translated as ""School of Religions"" was suggested to be written by whom?",Mohsin Fani,1,
2212,What was the title of the failed magazine that preceded and inspired the The Science Fiction League?,Amazing Stories,0,"Amazing Stories was not a failed magazine; it was a successful and influential science fiction magazine. The failed magazine that preceded and inspired the Science Fiction League was 'The Comet' or 'Science Fiction' (the 1930s fanzines), not Amazing Stories."
296,The Church of the Guanche People was founded in the city that is on the most populated island of what larger area?,Macaronesia,1,
3613,When is the football club which Stan Spinks played for founded,in 1902,1,
2020,"What mine was operated by Royal Oak Mines at at earlier date, Kemess Mine or Colomac Mine?",The Colomac Mine,1,
271,Can Stenocereus and Pachypodium both include tree like plants?,yes,1,
1125,The Little Missouri River rises west of a laccolithic butte that stands how many feet from summit to base?,867,1,
3654,"How many total staff (including part-time, flexible, and fixed contract staff) does the broadcaster, who released HyperNormalisation, employ?","35,402",0,"The broadcaster who released 'HyperNormalisation' is the BBC. The BBC employs around 22,000 staff, not 35,402. The number given is incorrect."
2676,"Who had more stable members of their band, X or The La's?",X,0,"The answer 'x' is ambiguous because it is unclear which bands 'x' and 'las' refer to. Without clarification, the answer cannot be judged as correct."
3209,"When is the 2010 population of a town in Waldo County which was covered by ""Maine School Administrative District 3""?","2,099",1,
1245,What flow of goods and services were managed and distributed by General Blood?,"blood, platelets, and plasma",1,
939,"What is the founding year of this public research university in the Netherlands, where Jan Borgman was a professor from 1968 to 1988?",1614,1,
1665,"What league, which is also known as the Barclays Premier League, had its start date pushed back?",The 2013–14 Premier League,0,"The Premier League, also known as the Barclays Premier League for sponsorship reasons, did not have its start date pushed back in the 2013–14 season. There is no notable record of the 2013–14 Premier League season start being delayed. The answer does not correctly address the question."
1691,Do the genuses Catopsis and Crataegus belong to the same family? ,no,1,
1871,What film directed by David Greene did Merrell Jackson play an apostle in?,Godspell,1,
94,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,1,
454,Are Agee and To Shoot an Elephant both documentaries about war?,no,1,
95,Tysons Galleria is located in what county?,Fairfax County,1,
2326,"What was the name of the bear promoted to corporal in the Polish army, and celebrated by an ongoing fundraising trust based in Scotland?",Wojtek,1,
1305,Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,Montejo v. Louisiana,1,
2724,The Very Best of Ugly Kid Joe: As Ugly as It Gets includes a cover of which Black Sabbath song from their 1970 debut?,N.I.B.,1,
3367,Were Joss Whedon and Norman Mailer both Americans?,yes,1,
890,"In which genus number of species are more, Lavatera or Oplismenus?",Oplismenus,0,"Lavatera has more species than Oplismenus. Lavatera (mallow genus) includes about 25-40 species, while Oplismenus (a grass genus) has around 7-10 species."
270,To which aircraft carrier was the VMF-213 Marine Fighting Squadron assigned to durning World War II?,USS Essex,1,
2143,"Which women's magazine was published first, Mirabella or Home Monthly?",Home Monthly,1,
2956,did Robert Wise have more award nominations than Zoltan Korda?,yes,1,
1469,In what season of the Simpson's does Lisa convert to Buddhism?,"""The Simpsons""' thirteenth season",1,
1227,Name three best sellers from Arthur Hailey that were released before Donna Tartt was born.,"Hotel"" (1965), ""Airport"" (1968), ""Wheels"" (1971)",0,"Donna Tartt was born in 1963. 'Hotel' (1965), 'Airport' (1968), and 'Wheels' (1971) were all published after her birth. Therefore, none of these books were released before Donna Tartt was born."
3614,Who directed a 2009 comedy released by BBC Films?,Debbie Isitt,1,
2723,What series did Tom Mandrake collaborate on that was based on a fictional superhero?,Martian Manhunter,1,
147,What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Kingdom of the Isles,1,
696,"Who has won more Grand Slam women's doubles titles, Lisa Raymond or Liezel Huber?",Liezel Huber,0,Lisa Raymond has won more Grand Slam women's doubles titles (6) than Liezel Huber (3).
2441,"Which park is further south within Spain, Picos de Europa National Park or Timanfaya National Park?",Timanfaya National Park,1,
2735,Both José Aponte de la Torre Airport and Boulder City Municipal Airport are classified as what type of airport?,public use airport,1,
1149,"Darl Hall and John Oats fifth studio album was released in 1976, which song was the first of their six #1 singles?","""Rich Girl""",1,
793,Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama,1,
2678,Who was responsible for the Soviet–Albanian split?,Nikita Khrushchev,1,
634,The Worst Journey in the World is a memoir written by which English explorer of Antarctica?,Apsley George Benet Cherry-Garrard,1,
2650,"Which movie was released first, Fantastic Mr. Fox or Khan Kluay?",Khan Kluay,1,
3195,"Les Ottolenghi was previously the Chief Information Officer at what casino in Paradise, Nevada?",Las Vegas Sands,0,"Les Ottolenghi was previously the Chief Information Officer at Caesars Entertainment, not Las Vegas Sands."
1838,"Who was the director of the 2007 American fantasy comedy film in which the actor best known for playing Michael Scott on the the American version of ""The Office"" starred?",Tom Shadyac,1,
3510,What collaboration with DJ Muggs did Gary Grice participate do in 2005?,Grandmasters,1,
844,What song written by Jimmy Webb inspired the name of a supergroup including Johnny Cash?,Highwayman,1,
1744,"Which film was released first, Home on the Range or Pete's Dragon?",Home on the Range,0,"'Pete's Dragon' was originally released in 1977, while 'Home on the Range' was released in 2004. Therefore, 'Pete's Dragon' was released first."
397,"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team,0,"Ashley Young previously played for Manchester United and the England national team, but as of 2024, he plays for Everton. The answer is outdated."
116,Suicide's 1977 released album features a song based on what brand's comic character?,Marvel,1,
2133,"Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",Ant-Man,1,
1148,Maha Kali is an EP by what band from Stromstad that was formed in 1989?,Dissection,0,"Dissection is a Swedish band, but they are from Strömstad and were formed in 1989. However, 'Maha Kali' is an EP by Dissection, not by another band. The question is correct in context, so the answer should be 'Dissection'. However, the question is a bit confusingly worded, but the answer matches the facts."
3450,Are both Lygodium or Maxillaria a genus of orchids?,no,0,"Maxillaria is a genus of orchids, but Lygodium is a genus of ferns, not orchids. The answer should have been 'no, only Maxillaria is a genus of orchids.'"
1799,To where did the war criminal who is the fictional defendant in the film After the Truth flee in real life ?,South America,1,
988,What pursuit did both Gevork Minaskanian and George Stambolian have in common?,"American educator, writer,",1,
1011,"What award does Crystal Palace F.C. present, first won by John McCormick and most recently by Wilfried Zaha?",Player of the Year,1,
2264,"Meomi Design works include The Octonauts book series, how did the adaptations of the series continue? ",a British children's television series,1,
578,"Chicagoland Sports Hall of Fame was founded by the company located in what Washington town, near the state capital?","Tumwater, Washington",0,"The Chicagoland Sports Hall of Fame was founded by the Olympia Brewing Company, which is located in Tumwater, Washington, near the state capital Olympia. However, the Hall of Fame itself is associated with Chicago, not Washington. The question asks about the company that founded it, and Tumwater, Washington is correct for the location of Olympia Brewing Company, but the Hall of Fame is not based there. The answer is misleading without clarification."
396,"""Kapitän zur See"" Ernst Lindemann was the commander of which one of two battleships built for Nazi Germany's ""Kriegsmarine""?",Bismarck,1,
1863,Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington",1,
916,"Wing Chun starred Michelle Yeoh and a Hong Kong actor, martial artist, and film director who won what tournament multiple times?",world wushu tournament,0,"The question refers to Donnie Yen, who starred with Michelle Yeoh in 'Wing Chun.' Donnie Yen is a Hong Kong actor, martial artist, and film director. However, he is not known for winning the 'world wushu tournament' multiple times. In fact, Donnie Yen did not compete in such tournaments; he trained in wushu but became famous through film, not competitive wushu."
3655,James Conlon directed the oldest outdoor Music Festival that is located and what state?,Illinois,1,
1199,WHat dish is  Dacryopinax spathularia included in that is also sometimes called Luóhàn cài?,Buddha's delight,1,
245,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,1,
1835,Dru Decaro is the lead guitarist for the RnB artist who began creating music at what age?,thirteen,1,
3648,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",Bruce Chatwin,1,
2177,"What abbey, founded in 598, was Clarembald a monk at?",St Augustine's Abbey,1,
2675,"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper,0,"Cecily Strong did not play a character named Piper in the 'What Up With That' sketch. The recurring characters in that sketch were mainly played by Kenan Thompson and others, but not Cecily Strong as Piper."
1122,"The Fast On-orbit Rapid Recording of Transient Events (FORTE) was co-developed and launched by this lab located a short distance northwest of Santa Fe, New Mexico that was involved with which nuclear weapon program during World War II?",Manhattan Project,1,
